Time (s),Speed (km/h)
0.0,24.29564118761843
0.05,24.820036416335313
0.1,25.286165508528057
0.15000000000000002,23.375868603916558
0.2,23.375868603916516
0.25,25.043588123815468
0.30000000000000004,22.82400505369553
0.35000000000000003,22.8240050536954
0.4,24.860471784401255
0.45,25.1147290547743
0.5,24.44943469404454
0.55,25.298018385615237
0.6000000000000001,25.2012634238786
0.65,25.016022511916304
0.7000000000000001,26.55969677826903
0.75,25.016022511916333
0.8,23.904577040142357
0.8500000000000001,25.65407454200873
0.9,26.030437029805185
0.9500000000000001,25.953253316487604
1.0,26.55969677826903
1.05,25.44825130649508
1.1,24.84548325963351
1.1500000000000001,26.15540113708144
1.2000000000000002,26.55969677826903
1.25,26.559696778269114
1.3,26.55969677826903
1.35,27.16614024005048
1.4000000000000001,27.33594440934931
1.4500000000000002,26.55969677826907
1.5,27.042298101539316
1.55,55.42640555906473
1.6,77.87321055444836
1.6500000000000001,100.0
1.7000000000000002,96.40332377666552
1.75,74.59001895135792
1.8,62.88569428675892
1.85,52.09496484268155
1.9000000000000001,49.32203092924384
1.9500000000000002,46.51168667087795
2.0,38.02147820593798
2.0500000000000003,35.84232469993674
2.1,34.478745764658484
2.15,30.276092574513257
2.2,25.32255211623493
2.25,21.303853442830004
2.3000000000000003,29.842577384712484
2.35,35.833616793818834
2.4000000000000004,31.261966081928122
2.45,25.71067593177503
2.5,21.538215194192233
2.5500000000000003,14.709423993567981
2.6,8.621410175421559
2.6500000000000004,4.909665192672151
2.7,6.679377476597963
2.75,9.457991156032847
2.8000000000000003,7.958421868718759
2.85,4.485154769425122
2.9000000000000004,4.0
2.95,10.689429922068257
3.0,16.799502964878897
3.0500000000000003,15.966155132075642
3.1,14.176121288692343
3.1500000000000004,16.540515706655867
3.2,16.16047780393957
3.25,17.38218572331013
3.3000000000000003,19.003411244472517
3.35,19.706885660138937
3.4000000000000004,19.74010821500171
3.45,20.454089993321503
3.5,21.73185551025101
3.5500000000000003,22.527936245687258
3.6,22.94987387849038
